Sample ID,Group,1763-23-1,2058-94-8,2355-31-9,2706-90-3,27619-97-2,2991-50-6,307-24-4,307-55-1,335-67-1,335-76-2,335-77-3,355-46-4,375-22-4,375-73-5,375-85-9,375-92-8,375-95-1,39108-34-4,474511-07-4,646-83-3,754-91-6,812-70-4,Br-EtFOSAA,Br-MeFOSAA,Br-PFHxS,Br-PFOA,Br-PFOS,d3-MeFOSAA,D3-NMEPFOSA,D5-ETFOSA,d5-EtFOSAA,D7-MEFOSE,D9-ETFOSE,L-6:2 FTS,L-8:2FTS,L-EtFOSAA,L-MeFOSAA,L-PFBA,L-PFBS,L-PFDA,L-PFDoA,L-PFDS,L-PFHpA,L-PFHpS,L-PFHxA,L-PFHxS,L-PFNA,L-PFOA,L-PFOS,L-PFOSA,L-PFPeA,L-PFUnA
EB1912040910JLB,EB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1,40.8,39.5,90.3,62.3,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM1910021740SK,FM-LkM,12300,1560,121,0,0,316,0,463,71.9,1000,0,112,0,0,18.4,24.9,349,20.3,0,0,16.6,0,72.7,50.1,14.2,0,4740,45.4,0,0,40.9,0,0,0,20.3,243,70.5,0,0,1000,463,0,18.4,24.9,0,98.1,349,71.2,7550,16.6,0,1560
FM1912031430-06,FM,97000,20.3,304,0,20.3,4800,4.32,3.34,1630,270,25,153,3.22,3.73,16.4,1200,1190,15.7,92.5,142,851,2.68,1910,191,11.1,156,37100,71.3,33.9,30.3,58.6,79.2,78.4,20.3,15.7,2890,113,3.22,3.73,270,3.34,25,16.4,1200,4.32,142,1190,1470,59800,851,0,20.3
FM1912031510-07,FM,124000,63.1,145,4.11,43.7,4380,21.6,0,2920,509,46,352,4.43,3.72,39.8,1240,2730,11.1,233,318,951,3.96,2110,99.7,35.6,349,48900,44.6,13.7,9.9,40.7,42.2,38.8,43.7,11.1,2270,45.7,4.43,3.72,509,0,46,39.8,1240,21.6,316,2730,2570,75100,951,4.11,63.1
FM1912040935-08,FM,27300,255,376,0,813,330,30.1,42.5,1320,1710,0,98.6,4.66,0,29.5,479,5510,232,0,798,110,40.4,176,252,10,64.7,17200,17.7,10.7,5.4,24.2,32.4,31.4,813,232,155,125,4.66,0,1710,42.5,0,29.5,479,30.1,88.5,5510,1260,10100,110,0,255
FM2001030800-09,FM,9590,124,126,0,345,162,9.19,29.9,645,729,0,67.1,0,0,16.1,186,2940,156,0,299,0,17.9,72.3,86.3,8.41,29.1,5440,22.6,9.2,10.3,28.2,27.3,30.4,345,156,89.4,40,0,0,729,29.9,0,16.1,186,9.19,58.7,2940,616,4150,0,0,124
FM2001161320-10,FM,7250,59,60.6,0,22.7,81.5,12.1,10.9,54.7,408,0,7.63,2.03,0,4.9,42.2,1010,53,0,18.1,23.6,4.06,33.6,33.9,0,3.8,3780,58.7,30.9,24.9,55.2,60.9,51.3,22.7,53,47.8,26.8,2.03,0,408,10.9,0,4.9,42.2,12.1,7.63,1010,50.9,3470,23.6,0,59
FM2001161320-10-FD,FM,5500,59.2,55.4,0,28.2,70.4,12.3,13.1,57.2,432,0,8.88,2.18,0,5.81,40.8,981,39.9,0,21,28.6,4.63,29.5,31.5,0,3.51,2990,63.3,24.4,20.4,51.4,52.4,44.9,28.2,39.9,40.9,23.8,2.18,0,432,13.1,0,5.81,40.8,12.3,8.88,981,53.7,2520,28.6,0,59.2
FM2001161435-11,FM,13400,73.5,54.6,0,329,27.1,11.7,0,682,574,0,41.2,0,0,18.7,291,3250,78.8,0,787,26.3,18.9,15.3,33.5,0,26,8300,49.6,41.8,29.1,52.7,94.4,87,329,78.8,11.8,21.2,0,0,574,0,0,18.7,291,11.7,41.2,3250,656,5130,26.3,0,73.5
SW1912031435-06,SW,29.8,0,0,0,0,4.39,0,0,4.3,0,0,0,3.01,1.6,0,0,0,0,0,0,4.45,0,1.7,0,0,0,10.3,91.8,1.1,1.1,87.5,23.7,26,0,0,2.68,0,3.01,1.6,0,0,0,0,0,0,0,0,3.59,19.6,4.45,0,0
SW1912031515-07,SW,18.5,0,0,0,0,2.4,0,0,1.98,0,0,0,2.71,1.55,0,0,0,0,0,0,3.79,0,0,0,0,0,5.38,92.5,54.9,49.9,79.2,83.2,83.1,0,0,0,0,2.71,1.55,0,0,0,0,0,0,0,0,1.98,13.1,3.79,0,0
SW1912040940-08,SW,2.82,0,0,2,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,95.6,2.1,2.1,91.2,22.5,24.1,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,2.01,5.17,2,0
SW2001030805-09,SW,0,0,0,6.42,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,79.9,32.4,32.8,84.1,65.3,71.9,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,12.4,6.42,0
SW2001161325-10,SW,1.67,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,109,46.7,45.4,123,61.5,61.9,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0
SW2001161450-11,SW,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,120,41,39.1,110,66.8,65.8,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0
FM2003311545-12,FM,43100,0,0,0,354,0,0,0,1730,269,0,2550,0,0,258,697,523,126,0,0,0,0,0,0,210,0,22600,36.1,25.5,14.5,40.2,15.5,15.7,354,126,0,0,0,0,269,0,0,258,697,0,2340,523,1730,20400,0,0,0
FM2003311645-13,FM,222000,1270,0,0,2650,0,0,0,2730,1880,0,1190,0,0,0,3670,6010,1030,0,0,0,0,0,0,0,0,115000,52.8,19.4,19.8,43.5,31.4,32.6,2650,1030,0,0,0,0,1880,0,0,0,3670,0,1190,6010,2730,108000,0,0,1270
FM2003311725-14,FM,31500,0,0,0,0,0,0,0,869,0,0,1610,0,0,0,390,400,0,0,0,0,0,0,0,0,0,13700,46.3,12.2,22.2,40.9,22.1,19.9,0,0,0,0,0,0,0,0,0,0,390,0,1610,400,869,17800,0,0,0
